source,target,relation
02-0673,01-1927,author
02-0741,01-0938,author
02-0596,01-1466,author
02-0700,01-1127,author
02-0741,01-0528,author
02-0673,01-1724,author
02-0847,01-1076,author
02-0866,01-0910,author
02-0838,01-1972,author
02-0838,01-1973,author
02-0780,01-1967,author
02-0716,01-1655,author
02-0758,01-1916,author
02-0390,01-0257,author
02-0741,01-1680,author
02-0647,01-1735,author
02-0755,01-2045,author
02-0879,01-2045,author
02-0758,01-1942,author
02-0845,01-0061,author
02-0702,01-0281,author
02-0838,01-0712,author
02-0838,01-0714,author
02-0655,01-1244,author
02-0716,01-1807,author
02-0800,01-1915,author
02-0716,01-1757,author
02-0655,01-1230,author
02-0791,01-0912,author
02-0657,01-1734,author
02-0758,01-1914,author
02-0741,01-0937,author
02-0879,01-0701,author
02-0722,01-0681,author
02-0782,01-0931,author
02-0650,01-0946,author
02-0637,01-0962,author
02-0686,01-1458,author
02-0716,01-1461,author
02-0716,01-1323,author
02-1029,01-1303,author
02-0716,01-1419,author
02-0656,01-2048,author
02-0716,01-1846,author
02-0716,01-1848,author
02-0660,01-1860,author
02-0650,01-1885,author
02-0675,01-1873,author
02-0650,01-1961,author
02-0845,01-0857,author
02-0782,01-1799,author
02-0800,01-0861,author
02-0716,01-1911,author
02-0279,01-1702,author
02-0741,01-1682,author
02-0755,01-1678,author
02-0775,01-1808,author
02-0775,01-1373,author
02-0810,01-1526,author
02-0810,01-0745,author
02-0784,01-0748,author
02-0775,01-0747,author
02-0775,01-0647,author
02-0755,01-0494,author
02-0879,01-0495,author
02-0879,01-0533,author
02-0814,01-0599,author
02-0814,01-0598,author
02-0678,01-1956,author
02-0842,01-1947,author
02-0770,01-1947,author
02-0749,01-1924,author
02-0716,01-1761,author
02-0961,01-1761,author
02-0716,01-1760,author
02-0848,01-1648,author
02-0384,01-1239,author
02-0512,01-1236,author
02-0512,01-1245,author
02-0512,01-1228,author
02-0678,01-1432,author
02-0666,01-1059,author
02-0848,01-0925,author
02-0481,01-0467,author
02-0802,01-0467,author
02-0999,01-0467,author
02-0802,01-0468,author
02-0848,01-0550,author
02-0512,01-0333,author
02-0741,01-0158,author
02-0845,01-0204,author
02-0716,01-0205,author
02-0689,01-0189,author
02-0845,01-0253,author
02-0845,01-0243,author
02-0741,01-0267,author
02-0691,01-0267,author
02-0879,01-0267,author
02-0758,01-0267,author
02-0716,01-0068,author
02-0609,01-1805,author
02-0609,01-1806,author
02-0749,01-1926,author
02-0856,01-1787,author
02-0841,01-0488,author
02-0716,01-0280,author
02-0716,01-0284,author
02-0841,01-0405,author
02-0841,01-0374,author
02-0741,01-0354,author
02-0841,01-0345,author
02-0841,01-0471,author
02-0741,01-1196,author
02-0655,01-1243,author
02-0655,01-1953,author
02-0680,01-1957,author
