"source","target","locality","year"
"02-0879","02-0415","Magdeburg","1559"
"02-0755","02-0415","Magdeburg","1559"
"02-0716","02-0647","Magdeburg","1551"
"02-1029","02-0647","Magdeburg","1549"
"02-0686","02-0647","Magdeburg","1551"
"02-0637","02-0647","Magdeburg","1549"
"02-0782","02-0647","Magdeburg","1549"
"02-0675","02-0647","Magdeburg","1551"
"02-0279","02-0654","Bautzen","1562"
"02-0814","02-0654","Weißenfels","1562"
"02-0814","02-0654","Weißenfels","1562"
"02-0784","02-0654","Wittenberg","1558"
"02-0654","02-0676","Magdeburg","1551"
"02-0716","02-0676","Magdeburg","1552"
"02-0654","02-0676","Magdeburg","1549"
"02-0654","02-0676","Magdeburg","1549"
"02-0654","02-0676","Magdeburg","1551"
"02-0716","02-0676","Magdeburg","1551"
"02-0716","02-0676","Magdeburg","1551"
"02-0722","02-0681","Regensburg","1560"
"02-1029","02-0713","Magdeburg","1550"
"02-0716","02-0713","Magdeburg","1550"
"02-0784","02-0716","Wittenberg","1557"
"02-0784","02-0716","Wittenberg","1557"
"02-0784","02-0716","Wittenberg","1558"
"02-0784","02-0716","Wittenberg","1558"
"02-0782","02-0716","Wittenberg","1557"
"02-0784","02-0716","Wittenberg","1557"
"02-0782","02-0716","Leipzig","1551"
"02-0782","02-0716","Wittenberg","1549"
"02-0782","02-0716","Wittenberg","1549"
"02-0782","02-0716","Wittenberg","1560"
"02-0782","02-0716","Wittenberg","1549"
"02-0782","02-0716","Leipzig","1551"
"02-0775","02-0716","Wittenberg","1550"
"02-0784","02-0716","Wittenberg","1557"
"02-0934","02-0716","Mainz","1555"
"02-0811","02-0716","Mainz","1555"
"02-0782","02-0716","Leipzig","1551"
"02-0585","02-0716","Wittenberg","1558"
"02-0716","02-0747","Magdeburg","1550"
"02-0353","02-0769","Wittenberg","1557"
"02-0716","02-0775","Magdeburg","1552"
"02-0722","02-0775","Magdeburg","1552"
"02-0716","02-0775","Magdeburg","1552"
"02-0716","02-0775","Magdeburg","1551"
"02-0654","02-0775","Magdeburg","1551"
"02-0654","02-0775","Magdeburg","1551"
"02-0722","02-0775","Regensburg","1560"
"02-0716","02-0775","Magdeburg","1551"
"02-0716","02-0775","Magdeburg","1551"
"02-0722","02-0775","Regensburg","1562"
"02-0716","02-0775","Magdeburg","1556"
"02-0722","02-0778","Regensburg","1562"
"02-0802","02-0782","Magdeburg","1548"
"02-0716","02-0782","Magdeburg","1549"
"02-0716","02-0782","Magdeburg","1549"
"02-0876","02-0782","Magdeburg","1549"
"02-0716","02-0782","Magdeburg","1551"
"02-0716","02-0782","Magdeburg","1549"
"02-0716","02-0782","Magdeburg","1549"
"02-0716","02-0782","Magdeburg","1549"
"02-0722","02-0782","Regensburg","1562"
"02-0716","02-0782","Magdeburg","1549"
"02-0722","02-0782","Regensburg","1560"
"02-0782","02-0782","Magdeburg","1548"
"02-0782","02-0782","Magdeburg","1550"
"02-0716","02-0784","Erfurt","1558"
"02-0716","02-0784","Magdeburg","1556"
"02-0716","02-0784","Jena","1558"
"02-0654","02-0784","Jena","1558"
"02-0802","02-0784","Jena","1558"
"02-0722","02-0800","Regensburg","1562"
"02-0353","02-0800","Wittenberg","1557"
"02-0716","02-0810","Magdeburg","1551"
"02-0654","02-0810","Jena","1554"
"02-0876","02-0810","Magdeburg","1551"
"02-0716","02-0810","Magdeburg","1550"
"02-0716","02-0810","Magdeburg","1551"
"02-0722","02-0810","Magdeburg","1550"
"02-0654","02-0810","Magdeburg","1550"
"02-0814","02-0811","Weißenfels","1562"
"02-0353","02-0816","Wittenberg","1557"
"02-0353","02-0838","Wittenberg","1557"
"02-0585","02-0838","Wittenberg","1558"
"02-0876","02-0848","Magdeburg","1553"
"02-0654","02-0886","Magdeburg","1549"
"02-0353","02-0890","Wittenberg","1557"
