"source","target","locality","year"
"02-0741","02-0061","Magdeburg","1562"
"02-0673","02-0061","Heidelberg","1576"
"02-0596","02-0070","Eisleben","1566"
"02-0700","02-0090","Frankfurt a. M.","1558"
"02-0700","02-0090","Frankfurt a. M.","1558"
"02-0673","02-0116","Frankfurt a. M.","1557"
"02-0866","02-0228","Tübingen","1559"
"02-0838","02-0239","unbekannt","1558"
"02-0838","02-0239","unbekannt","1558"
"02-0780","02-0276","Tübingen","1578"
"02-0716","02-0311","Magdeburg","1553"
"02-0758","02-0347","Wolfenbüttel","1579"
"02-0390","02-0354","s.l.","1579"
"02-0741","02-0376","Magdeburg","1564"
"02-0647","02-0414","Augsburg","1557"
"02-0879","02-0415","Magdeburg","1559"
"02-0755","02-0415","Magdeburg","1559"
"02-0758","02-0442","Helmstedt","1577"
"02-0845","02-0493","Eisleben","1572"
"02-0702","02-0508","Tübingen","1566"
"02-0838","02-0511","unbekannt","1556"
"02-0838","02-0511","Ulm","1556"
"02-0655","02-0512","Tübingen","1565"
"02-0716","02-0517","Jena","1561"
"02-0800","02-0529","Dresden","1580"
"02-0716","02-0556","Basel","1567"
"02-0655","02-0573","Tübingen","1564"
"02-0791","02-0595","Oberursel/Taunus","1565"
"02-0657","02-0609","Eisleben","1565"
"02-0879","02-0644","Magdeburg","1558"
"02-0741","02-0644","Nürnberg","1567"
"02-0758","02-0644","Wolfenbüttel","1575"
"02-0838","02-0644","unbekannt","1558"
"02-0716","02-0647","Magdeburg","1549"
"02-0656","02-0647","Magdeburg","1548"
"02-0716","02-0647","Magdeburg","1551"
"02-1029","02-0647","Magdeburg","1549"
"02-0716","02-0647","Magdeburg","1549"
"02-0716","02-0647","Magdeburg","1549"
"02-0686","02-0647","Magdeburg","1551"
"02-0637","02-0647","Magdeburg","1549"
"02-0650","02-0647","Magdeburg","1548"
"02-0782","02-0647","Magdeburg","1549"
"02-0722","02-0647","Regensburg","1554"
"02-0675","02-0647","Magdeburg","1551"
"02-0650","02-0647","s.l.","1548"
"02-0716","02-0647","Magdeburg","1549"
"02-0660","02-0647","Coburg","1549"
"02-0650","02-0647","s.l.","1548"
"02-0675","02-0647","Magdeburg","1551"
"02-0845","02-0649","Eisleben","1577"
"02-0782","02-0652","Wittenberg","1558"
"02-0782","02-0652","Wittenberg","1558"
"02-0800","02-0653","Königsberg","1552"
"02-0279","02-0654","Bautzen","1562"
"02-0741","02-0654","Magdeburg","1564"
"02-0755","02-0654","Frankfurt a. M.","1564"
"02-0775","02-0654","Wittenberg","1558"
"02-0716","02-0654","Bautzen","1562"
"02-0279","02-0654","Bautzen","1562"
"02-0879","02-0654","Frankfurt a. M.","1564"
"02-0800","02-0654","Königsberg","1552"
"02-0814","02-0654","Weißenfels","1562"
"02-0814","02-0654","Weißenfels","1562"
"02-0784","02-0654","Wittenberg","1558"
"02-0784","02-0654","Wittenberg","1558"
"02-0775","02-0654","Leipzig","1553"
"02-0775","02-0654","Wittenberg","1558"
"02-0810","02-0654","Wittenberg","1558"
"02-0775","02-0654","Wittenberg","1552"
"02-0810","02-0654","Wittenberg","1558"
"02-0810","02-0654","Wittenberg","1558"
"02-0848","02-0655","Ingolstadt","1562"
"02-0848","02-0655","Ingolstadt","1562"
"02-0961","02-0655","s.l.","1574"
"02-0716","02-0655","s.l.","1574"
"02-0678","02-0655","Zürich","1575"
"02-0512","02-0655","Ingolstadt","1564"
"02-0512","02-0655","Ingolstadt","1565"
"02-0512","02-0655","Wittenberg","1571"
"02-0802","02-0655","s.l.","1578"
"02-0481","02-0655","s.l.","1578"
"02-0848","02-0655","Dillingen","1559"
"02-0666","02-0655","Genf","1565"
"02-0512","02-0655","Wittenberg","1571"
"02-0848","02-0655","Ingolstadt","1561"
"02-0802","02-0655","s.l.","1578"
"02-0999","02-0655","s.l.","1578"
"02-0689","02-0655","Heidelberg","1575"
"02-0845","02-0655","Eisleben","1578"
"02-0741","02-0655","Jena","1570"
"02-0845","02-0655","Oberursel/Taunus","1576"
"02-0879","02-0655","Nürnberg","1579"
"02-0758","02-0655","Nürnberg","1579"
"02-0741","02-0655","Nürnberg","1579"
"02-0691","02-0655","Nürnberg","1579"
"02-0716","02-0655","Oberursel/Taunus","1573"
"02-0842","02-0655","Zürich","1576"
"02-0678","02-0655","Zürich","1575"
"02-0749","02-0655","Lemgo","1580"
"02-0770","02-0655","Zürich","1576"
"02-0609","02-0657","Wittenberg","1566"
"02-0609","02-0657","Wittenberg","1565"
"02-0841","02-0665","Leipzig","1580"
"02-0841","02-0665","Leipzig","1580"
"02-0716","02-0666","Frankfurt a. M.","1566"
"02-0841","02-0666","Wolfenbüttel","1573"
"02-0716","02-0666","Oberursel/Taunus","1566"
"02-0741","02-0666","Helmstedt","1580"
"02-0841","02-0666","Wolfenbüttel","1572"
"02-0841","02-0666","Leipzig","1579"
"02-0841","02-0666","Wolfenbüttel","1571"
"02-0741","02-0666","Magdeburg","1562"
"02-0741","02-0666","Magdeburg","1562"
"02-0655","02-0666","Tübingen","1565"
"02-0655","02-0666","Tübingen","1565"
"02-0782","02-0672","Wittenberg","1572"
"02-0809","02-0672","Wittenberg","1572"
"02-0838","02-0673","Ulm","1558"
"02-0678","02-0673","Zürich","1562"
"02-0678","02-0673","Zürich","1561"
"02-0838","02-0673","Ulm","1558"
"02-0678","02-0673","Zürich","1571"
"02-0654","02-0676","Magdeburg","1551"
"02-0716","02-0676","Magdeburg","1552"
"02-0800","02-0676","Königsberg","1552"
"02-0654","02-0676","Magdeburg","1549"
"02-0654","02-0676","Magdeburg","1549"
"02-0654","02-0676","Magdeburg","1551"
"02-0716","02-0676","Magdeburg","1551"
"02-0716","02-0676","Magdeburg","1551"
"02-0655","02-0678","Tübingen","1575"
"02-0673","02-0678","Tübingen","1561"
"02-0933","02-0678","Tübingen","1561"
"02-0673","02-0678","Tübingen","1564"
"02-0673","02-0678","Frankfurt a. M.","1563"
"02-0673","02-0678","Frankfurt a. M.","1563"
"02-0673","02-0678","Frankfurt a. M.","1562"
"02-0847","02-0678","Krakau","1562"
"02-0673","02-0678","Tübingen","1561"
"02-0673","02-0678","Tübingen","1562"
"02-0650","02-0678","Neubrandenburg","1556"
"02-0876","02-0678","Magdeburg","1552"
"02-0789","02-0681","Königsberg","1567"
"02-0789","02-0681","Königsberg","1567"
"02-0685","02-0681","Königsberg","1567"
