"id","name"
"02-0015","Albrecht, Laurentius"
"02-0017","Altenberger, Bartholomäus"
"02-0019","Ambrosius, Bischof von Mailand"
"02-0020","Amling, Wolfgang"
"02-0021","Andreae d. J., Jakob"
"02-0022","Lange, Andreas"
"02-0023","Brendike, Thomas"
"02-0024","Corner, Christoph"
"02-0030","Apiarius, Matthias"
"02-0031","Arbiter, Peter"
"02-0034","Augustinus, Aurelius"
"02-0039","Badius, Konrad"
"02-0040","Balhorn, Johannes"
"02-0041","Bapst, Valentin"
"02-0042","Bartenbach, Johannes"
"02-0043","Bartmann, Philipp"
"02-0044","Berwald, Jakob"
"02-0046","Basse, Nikolaus"
"02-0047","Baumann, Georg"
"02-0048","Becker, Konrad"
"02-0049","Behem, Franz"
"02-0050","Berger, Thiebold"
"02-0052","Besselmeier, Sebastian"
"02-0053","Beyer, Johannes"
"02-0054","Binder, Hans"
"02-0055","Birckmann, Arnold"
"02-0061","Bouquin, Pierre"
"02-0062","Boye, Peter"
"02-0064","Braubach, Peter"
"02-0067","Brem, Esaias"
"02-0069","Bruchsalius, Alexander"
"02-0070","Brück, Christian"
"02-0071","Bucher, Peter"
"02-0072","Bund, Sigmund"
"02-0073","Bundmann, Erhard"
"02-0074","Burchardi, Franz"
"02-0075","Burger, Hans"
"02-0089","Camerarius, Joachim"
"02-0090","Canisius, Petrus"
"02-0091","Kohl, Hans"
"02-0092","Cholinus, Maternus"
"02-0094","Christian, Theodor"
"02-0097","Schneider, Matthias"
"02-0098","Chyakius, Micael"
"02-0099","Civile, Marco"
"02-0100","Clamer, Balthasar"
"02-0101","Cnodius, Johannes"
"02-0102","Schirmer, Albert"
"02-0103","Corthoys, Antonius"
"02-0104","Rab, Georg"
"02-0105","Cranmer, Thomas"
"02-0106","Crespin, Jean"
"02-0107","Kreutzer, Veit"
"02-0108","Kröner, Michael"
"02-0109","Ctematius, Gellius"
"02-0110","Curio, Wolfgang"
"02-0111","Daneau, Lambert"
"02-0114","Daubmann, Hans"
"02-0116","de Soto, Pedro"
"02-0119","Deffner, Georg"
"02-0121","Delenus, Daniel"
"02-0127","Diesbach, Nicolaus von"
"02-0128","Dietz, Ludwig"
"02-0130","Dominicus Aquinas"
"02-0133","Dreher, Konrad"
"02-0134","Dürnhofer, Laurenz"
"02-0135","Eberhard, Caspar"
"02-0140","Eysenberg d. Ä., Jacob"
"02-0142","Elchanan, Paulus"
"02-0143","Elephant, Christoph"
"02-0144","Emmel, Samuel"
"02-0145","Erich von Braunschweig, Erich"
"02-0150","Faber, Paul"
"02-0151","Fabricius, Blasius"
